Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
6759138.01122,44945537.5526,,47559013.4803,
,82779671.0361,,173687495.982,
,-22697892.1326,,26652425.4783,
,49138246.2436,,206082506.999,
,31525300.2491,,459185950.162,
,292472275.57,,618388044.456,
,311600693.058,,190101663.005,
,52572030.1556,,66170305.7837,
,45831623.2186,,69833211.0906,
,78332823.3915,,437268004.509,
,969475.855561,,505136160.619,
,112308785.588,,315472563.659,
,10913431.9224,,559804929.177,
,0.0,,0.0,
,198556552.1,,192491621.604,
,72962901.1757,,41177214.1876,
,64383923.9316,,302004539.701,
,495672803.666,,373651190.027,
,14819818.3619,,174889997.656,
,655545.931095,,588254731.083,
,23577957.8659,,1079495225.34,
,262176161.637,,528565070.728,
,254895520.02,,26381333.4146,
,312278403.828,,280405593.313,
,-16799288.5079,,69096002.2006,
,77292308.8636,,397155705.954,
,47240956.8364,,104506103.823,
,36554735.2011,,138698436.963,
,46882243.4993,,208980467.035,
,15356147.6349,,572825536.915,
,73490019.4572,,76703903.037,
,105825596.551,,284300700.869,
,0.0,,508072895.011,
,83555832.6729,,464252328.304,
,137846620.196,,475445079.999,
,157537424.829,,475829204.914,
,161771783.2,,406577279.433,
,456446673.556,,266493514.281,
,75104495.6386,,323474444.193,
,315198749.745,,462007985.839,
,6185248.41471,,906498742.914,
,10492836.0915,,306572102.382,
,130896216.0,,279479805.411,
,18396729.43,,1024021350.1,
,73768879.0503,,45304709.9205,
,66673508.9996,,624326380.693,
,193035923.878,,401982327.672,
,10110868.5031,,,
,0.0,,,
,32183854.2212,,,
,107018533.286,,,
,413250903.65,,,
,187593970.085,,,
,49904068.3155,,,
,-6386611.18261,,,
,224915034.976,,,
,41093463.8867,,,
,-38594351.5505,,,
,209988811.735,,,
,161034947.55,,,
,346997145.695,,,
,97533339.5017,,,
,156942141.662,,,
,0.0,,,
,77497369.2451,,,
,108052471.027,,,
,45512326.6238,,,
,15334991.3886,,,
,3049712.68619,,,
,14041993.8299,,,
,46531109.8282,,,
,37797859.2661,,,
,54527867.0683,,,
,-1280548.29274,,,
,62141725.154,,,
,159068957.57,,,
,14354000.3572,,,
,13783234.5309,,,
,0.0,,,
,166980590.13,,,
,286892530.293,,,
,71738476.4587,,,
,211071463.756,,,
,97964976.8,,,
,39968377.5337,,,
,174644520.43,,,
,116192054.977,,,
,48588357.4287,,,
,426147.548071,,,
,5311988.38652,,,
,7177461.48225,,,
,383467890.222,,,
,8219668.59406,,,
,0.0,,,
,-858016.858694,,,
,42553429.7644,,,
,-12085293.0873,,,
,-9440138.06706,,,
,102609475.851,,,
,99750230.262,,,
,49672580.4993,,,
,170751564.286,,,
,84796719.4224,,,
,62209066.4297,,,
,-4778352.9039,,,
,126288228.303,,,
,5593733.98391,,,
,51689750.7444,,,
,210998345.399,,,
,39202307.4018,,,
,207048540.405,,,
,33217237.3934,,,
,199684932.254,,,
,402695.578376,,,
,58653751.8859,,,
,24934616.8482,,,
,32107197.0185,,,
,-67488983.5082,,,
,11724974.3573,,,
