X,Y,id,Des,AreaSub
-8409058.91182702,726690.240677131,4,CUBA,23446171.78320
-8409242.07887485,727038.82637229,4,CUBA,23446171.78320
-8409438.32266473,727314.500981134,4,CUBA,23446171.78320
-8409184.93452578,727597.716868803,4,CUBA,23446171.78320
-8409122.22170156,727858.044316979,4,CUBA,23446171.78320
-8409027.66942877,728155.082339471,4,CUBA,23446171.78320
-8408737.3200266,728284.155322439,4,CUBA,23446171.78320
-8408461.68641702,728209.558208624,4,CUBA,23446171.78320
-8408288.25458082,727999.74151686,4,CUBA,23446171.78320
-8407703.13944601,727971.471098951,4,CUBA,23446171.78320
-8407359.22682622,727529.384889568,4,CUBA,23446171.78320
-8406967.2328253,727382.775949833,4,CUBA,23446171.78320
-8406818.73419632,727545.50864089,4,CUBA,23446171.78320
-8406533.85263455,727661.907768575,4,CUBA,23446171.78320
-8406172.21957473,728161.869127772,4,CUBA,23446171.78320
-8406160.97860248,728222.091381896,4,CUBA,23446171.78320
-8406106.29399328,728298.999349708,4,CUBA,23446171.78320
-8405979.28004532,728282.334211456,4,CUBA,23446171.78320
