Lunes,Martes,Miercoles,Jueves,Viernes
0.0,30220324.5082,3757125.98765,5.28799252781e+11,1.17754573061e+11
1.90572825392e+11,3.02558380993e+11,4.97027906245e+11,63444629.9936,4.52706031749e+11
1.95112596503e+11,1.05159421254e+11,1.11656315874e+11,66673018.4319,1117524532.0
24685183.5136,2.42931815212e+11,1.79854419051e+11,15576683.3166,5.24057808784e+11
72394621.9548,5.11417805221e+11,38836267634.0,18668372.4699,5.38217944913e+11
26922816.4948,9.19336521287e+11,488057921.38,2.12912967539e+11,2.79528881962e+11
1.70602377125e+11,2.74695473353e+11,55360833.6486,98018370.4118,1.11641579192e+11
44427457.8403,1104548067.83,2.08850086746e+11,2.43007206401e+11,21952731.1839
96893876.7384,14638591523.0,2.94792471686e+11,70136408.1188,19421214.9596
1.70102701457e+11,2.94272701096e+11,2991756.65265,1.61053310695e+11,425878683.85
1.05191398937e+11,4.52312113444e+11,40956271.5987,2.33759688323e+11,1.76387947429e+11
22334421.9313,365725853.55,2.97357360827e+11,3.87774309136e+11,93287269.8645
1.23348587165e+11,0.0,2.72906620797e+11,2.91840098802e+11,2.98289610081e+11
65215154.4182,2.77083703068e+11,23891403.6391,79648876.2487,3.34123711487e+11
328639546.08,1.01142557864e+11,1.62638173854e+11,78254437.7082,7.28074365472e+11
62747576.8993,1.92261163761e+11,49968629.0564,1.02505432844e+11,2.98907767034e+11
4.42161005491e+11,220589236.76,6.46551019024e+11,1768750.88485,31244056.4785
2.81254790668e+11,1.01602714616e+11,59851533.1462,7.21908728858e+11,3.74547646893e+11
4.93771504812e+11,2.73966120576e+11,1.16604910022e+11,12303195.8237,284926772.32
1.18767979247e+11,28614794.4803,5.05834779847e+11,4.93246828111e+11,17319708.4831
7.48503218793e+11,96858437.8115,19241900.8271,47898100.9096,6.76058150118e+11
5.17648756648e+11,2.39764012011e+11,36054400.1675,116077894.28,2.02285497099e+11
82872025.2135,1.70857133614e+11,1.38454720325e+11,1.70640785624e+11,9.32826217011e+11
2.64196242537e+11,2.08964314065e+11,18139962.4858,1.72019267172e+11,6.69783306009e+11
1.06611975509e+11,79369083.7858,4.24346623478e+11,533972940.58,43574328.75
5.33198635064e+11,1.53562001393e+11,4.50995203047e+11,2.43607590922e+11,2323487.07627
1.16442085306e+11,1.79974805138e+11,4.85802038211e+11,191522275.3,2.61224902801e+11
4.34733472386e+11,1.08833324039e+11,266390265.66,39486084.2903,8.32191063848e+11
2.25778650787e+11,1.70909425934e+11,2.18069019755e+11,2.61548576145e+11,87874318567.0
4.96688569788e+11,2.33050242664e+11,10842067.4296,3.24194547634e+11,6.27709517739e+11
14530352301.0,3.08778621261e+11,2.21701358207e+11,1.14940521619e+11,1.39448278475e+11
5.68728150186e+11,3.51714869523e+11,1.90888049482e+11,2.22655166745e+11,4.56829253447e+11
2.51082461858e+11,2.73012374013e+11,43599573.2056,0.0,11766399809.0
1.85629263525e+11,1.75397582466e+11,6.98739968401e+11,1286964.95915,39722701.8623
253256265.49,0.0,2.70953986177e+11,2.77126374613e+11,1.29958321761e+11
1.61734764631e+11,1.21218814477e+11,1.86263224445e+11,7141645.51633,33048961.7444
156378024.68,1.56885556578e+11,2.77741175471e+11,1.13563635282e+11,1.65601230107e+11
508681490.51,1.45024356763e+11,82885418.3135,7.90103819521e+11,15250668.0902
2.57140859793e+11,258189.739712,1.75004714801e+11,2.42748963594e+11,189086179.76
1.81506245058e+11,62320126.9978,6.64588576861e+11,114068191.06,1.91796797628e+11
1.79698657177e+11,39749177.3797,21745765.1577,742025136.51,55222964.5569
32828017767.0,1.40445868067e+11,86182696.7991,1.79168114406e+11,1.11082091647e+11
135500923.51,3.22357052941e+11,24427834.8573,4.59757577953e+11,6.41812385556e+11
5.16726974371e+11,43993334988.0,2.90057381593e+11,50578057.7587,1.40323704466e+11
1.07475194084e+11,7.17934776019e+11,3.99623338221e+11,3.57375163173e+11,5.48881637154e+11
3.52546470987e+11,72851354.5284,1.72113298542e+11,3.80326484988e+11,57544249.41
3.94895557449e+11,2.04998519639e+11,95962432366.0,59993327.3664,4.64476647032e+11
35821874771.0,52605743.3483,4.42891231699e+11,9.91955289641e+11,81971041187.0
81253206.1821,1.82781394357e+11,624629700.41,1.22205960158e+11,1.11406719257e+11
11482134.9582,24803642.3994,1.99184587525e+11,34694652595.0,1.98583636773e+11
2.11891413002e+11,101421056.1,5.85910452834e+11,2.46597863793e+11,82943585.6974
1.11282590066e+11,3.69169905418e+11,7148253.92763,2.63694739302e+11,3.59989245858e+11
3.28614729111e+11,1.94438403663e+11,41404959.8753,2.12822476643e+11,2.10309221265e+11
67605417.7715,9.17972086821e+11,2.15152426709e+11,49997929.5073,2.90407705684e+11
360835541.02,1.67055732358e+11,20068212.6481,75765145.4563,4.11207805216e+11
68751992.8706,62137780.0538,2.21661072499e+11,2.73582508235e+11,67929785.3378
1.82479715573e+11,281235353.59,5884418.40392,4.11207805216e+11,1.67972948723e+11
2.70342586734e+11,2.18161019341e+11,71193183337.0,4.53607701325e+11,1.55309583779e+11
2.86293554416e+11,18899336.3126,3.95788925083e+11,3.63096217459e+11,2.68412433615e+11
2.23933029419e+11,2.95440112303e+11,3.48571395535e+11,12005635613.0,13304243.1595
2.58721377823e+11,1.08511346615e+11,2.63451575755e+11,2.18173356423e+11,3.60859995183e+11
2.81957528764e+11,2.20109868695e+11,1.08487504392e+11,2.25941871817e+11,10878523.5999
86700053.0833,18855246.2055,4.67354534508e+11,2.21341211794e+11,1285975226.44
1.73473755852e+11,2.32956317172e+11,87347760.7335,45969368.4561,3.26896578203e+11
1.74828748723e+11,6.26100802219e+11,1.65525601277e+11,1.09046250221e+11,26003447.6385
1.11142653625e+11,5.35154830881e+11,50513997.9745,1.68673056882e+11,1.71114273191e+11
36361786309.0,2.42843545007e+11,38821089.0867,2.63713011695e+11,75349678.8914
81738381289.0,4.96749628995e+11,5.46927594131e+11,4.28272332767e+11,98576142.7391
94336965.1512,240578693.28,35716757.7922,39921783.8245,2.85420246002e+11
6.17499839987e+11,41771429.3169,9333022.40501,3.69469117104e+11,14394669.0801
1.63427717225e+11,16086361.0547,5.57980882991e+11,4.33420214363e+11,90744605.6526
