Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
35174081.9181,366328454.379,,,
28041984.7771,419788321.524,,,
45687558.4655,36702578.6532,,,
6936838.95052,465986582.028,,,
116338251.909,450950135.325,,,
20522227.5435,229296543.502,,,
19368114.5288,241180666.958,,,
384630067.097,49918018.3006,,,
3760536.92697,101012778.089,,,
0.0,182354536.179,,,
82244174.9308,200408061.418,,,
4763275.54546,156189301.418,,,
-5120063.06974,268926096.9,,,
34075936.9972,175524207.833,,,
89396552.5463,615201046.416,,,
72203760.2933,91262345.1309,,,
12983098.3315,168658242.164,,,
53712536.3716,152097535.678,,,
183256511.259,17561492.6595,,,
80887561.8531,284014764.122,,,
2541006.37007,18573237.0488,,,
11896966.8351,1060374705.15,,,
52367997.0125,19286996.5291,,,
5541709.06531,261177343.152,,,
59416436.0306,402985728.691,,,
188372951.785,214438554.141,,,
-7679054.80231,411126073.109,,,
45253408.8358,69187019.2536,,,
11824206.8403,184188400.283,,,
79552957.5706,433832763.349,,,
26642684.5182,170157754.555,,,
54273658.9668,1374815.69821,,,
0.0,209915734.945,,,
12732123.7034,486231699.777,,,
19176319.9622,14136816.1886,,,
72441895.0405,64104363.7099,,,
28455854.433,272843886.876,,,
-1120002.4824,205654264.904,,,
74616559.0783,180419238.421,,,
16084572.3265,155106010.518,,,
222399390.557,115398605.388,,,
15096123.9342,113245114.56,,,
77276751.3726,172807034.155,,,
67504529.3549,347848281.844,,,
136712134.552,160330096.752,,,
6763240.76557,30013375.3238,,,
10420569.0117,44018133.7625,,,
13575823.1199,101560039.819,,,
6837520.77812,48903428.6857,,,
154120591.548,258833703.622,,,
47607959.8584,13497370.7139,,,
24822823.5055,21252542.3725,,,
148352612.575,4834738.59044,,,
,47922657.4324,,,
,194917367.921,,,
,67026977.6112,,,
,559197657.962,,,
,316432702.589,,,
,69372577.0863,,,
,531271321.135,,,
,259875994.524,,,
,698098574.075,,,
,327679586.283,,,
,48677203.9581,,,
,177614662.378,,,
,292874986.941,,,
,143766402.222,,,
,-19707864.2873,,,
,725915416.297,,,
,252015395.141,,,
,54677182.0986,,,
,289371347.527,,,
,308609382.129,,,
,276532512.742,,,
,46961654.815,,,
,50807879.4194,,,
,31142784.889,,,
,0.0,,,
,171327021.4,,,
,324340341.442,,,
,137737445.655,,,
,26786296.8471,,,
,480049.814223,,,
,98291823.7769,,,
,64828683.2567,,,
,222025449.648,,,
,215799025.09,,,
,66870731.6741,,,
,171664588.87,,,
,179647592.137,,,
,206693904.144,,,
,45227507.1096,,,
,122551403.767,,,
,427351557.825,,,
,161317946.67,,,
,642333402.163,,,
,78098497.5756,,,
,177026421.579,,,
,25942556.518,,,
,369529993.149,,,
,69213814.1808,,,
,25476018.0907,,,
,16000715.5641,,,
,293973344.572,,,
,22267251.0542,,,
,48480222.376,,,
,703783.728854,,,
,491776411.81,,,
,558037337.104,,,
,164316541.095,,,
,221407805.055,,,
,126158125.433,,,
,13913484.1933,,,
,407531215.517,,,
,501613060.777,,,
,105216790.508,,,
,430006637.408,,,
,497546761.77,,,
,16128530.1168,,,
,109004718.543,,,
,166659018.119,,,
,86358203.3803,,,
,48273810.9819,,,
,250050500.717,,,
,406749175.103,,,
,155858761.642,,,
,176017924.533,,,
,177246484.944,,,
,345350161.231,,,
