X1,Y1,X2,Y2,Subpoints_origin,Subpoints_destiny,Distance,Duration,Elevation
,,,,"[4.8049712, -75.7510209]","[4.805467, -75.7509832]",55.0,12.0,4.963384222261869
,,,,"[4.805467, -75.7509832]","[4.8066976, -75.7425884]",977.0,202.0,1.1306197845168435
,,,,"[4.8066976, -75.7425884]","[4.809159999999999, -75.73719]",704.0,86.0,1.1453339887289316
,,,,"[4.809159999999999, -75.73719]","[4.8090249, -75.73551270000002]",186.0,39.0,1.0564048615060426
,,,,"[4.8090249, -75.73551270000002]","[4.807261899999999, -75.7237356]",1535.0,152.0,1.0721686056223378
,,,,"[4.807261899999999, -75.7237356]","[4.8052325, -75.6983109]",3028.0,325.0,1.4376690529557943
,,,,"[4.8052325, -75.6983109]","[4.8066071, -75.702671]",593.0,66.0,0.7719821950714342
4.78996512710194,-75.7493231269694,4.795322092559889,-75.73337945830771,"[4.790028, -75.7492413]","[4.7890815, -75.74609629999999]",397.0,123.0,1.0423368868042082
,,,,"[4.7890815, -75.74609629999999]","[4.7877403, -75.7461845]",159.0,55.0,0.631180563235696
,,,,"[4.7877403, -75.7461845]","[4.7881003, -75.7430293]",357.0,64.0,1.28423732747982
,,,,"[4.7881003, -75.7430293]","[4.7928326, -75.7372542]",880.0,138.0,0.7954923744847775
,,,,"[4.7928326, -75.7372542]","[4.79976, -75.74264699999999]",1006.0,180.0,1.7204946751064791
,,,,"[4.79976, -75.74264699999999]","[4.7994781, -75.74218359999999]",62.0,16.0,0.7873852344284745
,,,,"[4.7994781, -75.74218359999999]","[4.799282199999999, -75.7386004]",415.0,99.0,0.7140548726849603
,,,,"[4.799282199999999, -75.7386004]","[4.7979138, -75.7356981]",366.0,81.0,2.3276899825567487
,,,,"[4.7979138, -75.7356981]","[4.7952841, -75.7337424]",389.0,74.0,2.2830370269812867
4.80522696871296,-75.72620219804129,4.8067341338990985,-75.7352365993978,"[4.8056731, -75.726231]","[4.8065443, -75.7267827]",121.0,44.0,1.6685534323024829
,,,,"[4.8065443, -75.7267827]","[4.807261899999999, -75.7237356]",414.0,84.0,3.1938132773163352
,,,,"[4.807261899999999, -75.7237356]","[4.8090249, -75.73551270000002]",1714.0,171.0,1.0721686056223378
,,,,"[4.8090249, -75.73551270000002]","[4.8080185, -75.7361835]",134.0,32.0,1.965100393790771
,,,,"[4.8080185, -75.7361835]","[4.806808, -75.735152]",178.0,70.0,1.40788270963268
